"system","system.showIndexRole","Xem vai trò","Xem danh sách vai trò người dùng"
"system","system.postUser","Thêm hoặc cập nhật người dùng","Thêm hoặc chỉnh sửa tài khoản hệ thống"
"allowance_deduction","allowance_deduction.showIndexAllowance","Xem phụ cấp nhân viên","Xem danh sách phụ cấp theo nhân viên"
"allowance_deduction","allowance_deduction.putAllowance","Cập nhật phụ cấp nhân viên","Sửa phụ cấp nhân viên"
"allowance_deduction","allowance_deduction.previewAllowancePdf","Xem PDF phụ cấp","Xem trước file PDF phụ cấp"
"allowance_deduction","allowance_deduction.showIndexDeduction","Xem trích nộp nhân viên","Xem danh sách trích nộp theo nhân viên"
"allowance_deduction","allowance_deduction.putDeduction","Cập nhật trích nộp nhân viên","Sửa khoản trích nộp nhân viên"
"allowance_deduction","allowance_deduction.previewDeductionPdf","Xem PDF trích nộp","Xem trước file PDF trích nộp"
"attendance","attendance.showDetailAttendance","Xem chi tiết chấm công","Xem bảng chấm công chi tiết"
"attendance","attendance.detail-attendance.load","Tải chi tiết chấm công","Tải dữ liệu chi tiết chấm công"
"attendance","attendance.showSummary","Xem tổng hợp công","Xem bảng tổng hợp công theo tháng"
"attendance","attendance.showOvertime","Xem làm thêm giờ","Xem danh sách làm thêm giờ"
"attendance","attendance.showPersonal","Xem công cá nhân","Xem bảng công cá nhân"
"attendance","attendance.detail-attendance.update","Cập nhật chấm công","Cập nhật dữ liệu chi tiết chấm công"
"attendance","attendance.postCloseAttendance","Chốt công","Chốt công tháng cho toàn bộ nhân viên"
"attendance","attendance.postOvertime","Thêm làm thêm giờ","Thêm mới ca làm thêm"
"attendance","attendance.putOvertime","Cập nhật làm thêm giờ","Cập nhật ca làm thêm"
"attendance","attendance.deleteOvertime","Xóa làm thêm giờ","Xóa ca làm thêm"
"accounting","accounting.showIndex","Xem bảng lương","Xem bảng lương tổng hợp"
"accounting","accounting.loadIndex","Tải bảng lương","Tải dữ liệu bảng lương"
"accounting","accounting.showIndexTax","Xem thuế","Xem báo cáo thuế TNCN"
"accounting","accounting.loadIndexTax","Tải dữ liệu thuế","Tải danh sách thuế"
"accounting","accounting.showEmployeeBonus","Xem thưởng nhân viên","Xem danh sách thưởng nhân viên"
"accounting","accounting.loadEmployeeBonusTable","Tải bảng thưởng","Tải dữ liệu thưởng nhân viên"
"accounting","accounting.previewTaxPdf","Xem PDF thuế","Xem trước file PDF thuế"
"accounting","accounting.previewPaymentPdf","Xem PDF thanh toán","Xem trước file PDF thanh toán lương"
"accounting","accounting.getUnitPrice","Xem đơn giá","Xem đơn giá tính lương"
"accounting","accounting.showPayment","Xem thanh toán","Xem danh sách thanh toán lương"
"accounting","accounting.loadPayment","Tải thanh toán","Tải dữ liệu thanh toán lương"
"accounting","accounting.postPayrollTable","Tạo bảng lương","Tạo mới bảng lương tháng"
"accounting","accounting.updateEmployeeBonus","Cập nhật thưởng nhân viên","Cập nhật dữ liệu thưởng nhân viên"
"journal","journal.showJournal","Xem sổ kế toán","Xem sổ kế toán tổng hợp"
"journal","journal.loadJournal","Tải sổ kế toán","Tải dữ liệu sổ kế toán"
"journal","journal.saveJournal","Lưu sổ kế toán","Lưu thay đổi sổ kế toán"
